frame,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32
0,0.5178384184837341,0.31490564346313477,-0.2398049235343933,0.5201231241226196,0.30103427171707153,-0.22808919847011566,0.5225600600242615,0.30099251866340637,-0.22810736298561096,0.5246977210044861,0.301125705242157,-0.2281019240617752,0.5131552219390869,0.30095621943473816,-0.23071937263011932,0.5101415514945984,0.30119529366493225,-0.2307354062795639,0.5072125196456909,0.3015691637992859,-0.2307623326778412,0.5260456800460815,0.3056715130805969,-0.1424892395734787,0.5009462833404541,0.30723440647125244,-0.15584667026996613,0.5205811858177185,0.3276175856590271,-0.20627503097057343,0.5127336382865906,0.3280983567237854,-0.21013763546943665,0.5497636795043945,0.38782942295074463,-0.08069078624248505,0.47925814986228943,0.3844532072544098,-0.0927238017320633,0.5558493137359619,0.47259941697120667,-0.03475566580891609,0.472761869430542,0.47363629937171936,-0.05676023289561272,0.5552847981452942,0.5512987971305847,-0.10368002951145172,0.4719979465007782,0.555509626865387,-0.1198076531291008,0.557544469833374,0.5769787430763245,-0.1241794303059578,0.47195571660995483,0.5807713866233826,-0.14069701731204987,0.5532544255256653,0.5753572583198547,-0.14925850927829742,0.4747557044029236,0.578727662563324,-0.1665908247232437,0.5508755445480347,0.5683340430259705,-0.11490736901760101,0.4757388234138489,0.5715326070785522,-0.13134130835533142,0.5300446152687073,0.5718255639076233,0.000924673571716994,0.49358439445495605,0.5715777277946472,-0.0009281747043132782,0.5262116193771362,0.6932735443115234,0.04272857680916786,0.49395114183425903,0.6911695599555969,0.032886799424886703,0.5201164484024048,0.8008973002433777,0.1767205446958542,0.4962466061115265,0.8051559925079346,0.1727363020181656,0.5182487368583679,0.8149316310882568,0.18486139178276062,0.4982362389564514,0.8197272419929504,0.18126130104064941,0.5296794772148132,0.8426735997200012,0.10071941465139389,0.4851607382297516,0.8418262004852295,0.09254924952983856
1,0.5182326436042786,0.3137286603450775,-0.20359688997268677,0.5204402804374695,0.30024445056915283,-0.19156403839588165,0.5227533578872681,0.30021902918815613,-0.19160941243171692,0.5248934626579285,0.3003444969654083,-0.19160939753055573,0.5135970115661621,0.30021342635154724,-0.19327297806739807,0.5105441808700562,0.3005121350288391,-0.19327448308467865,0.5076748132705688,0.3009207546710968,-0.1933080106973648,0.5261485576629639,0.3052093982696533,-0.11136414110660553,0.5011869072914124,0.30647221207618713,-0.11978334933519363,0.5209752917289734,0.32712602615356445,-0.1727115660905838,0.5131481289863586,0.32794150710105896,-0.17514096200466156,0.5499878525733948,0.3879287540912628,-0.062127336859703064,0.48008328676223755,0.38420793414115906,-0.06455410271883011,0.5558543801307678,0.472637414932251,-0.031116923317313194,0.47288623452186584,0.4731665849685669,-0.03457779437303543,0.5552415251731873,0.5524293780326843,-0.10385659337043762,0.4723151624202728,0.5543386340141296,-0.10038305819034576,0.5575273633003235,0.5774936079978943,-0.12545859813690186,0.47212284803390503,0.5802876949310303,-0.12135769426822662,0.553260087966919,0.5759515166282654,-0.14990369975566864,0.47530922293663025,0.5778550505638123,-0.14769215881824493,0.5508772730827332,0.568540632724762,-0.11502422392368317,0.4765421152114868,0.5697296261787415,-0.11235016584396362,0.5300452709197998,0.5722832083702087,-7.067780825309455e-05,0.4936063587665558,0.5715530514717102,8.782577788224444e-05,0.5260412096977234,0.693730890750885,0.037984952330589294,0.49399879574775696,0.6913900971412659,0.031465787440538406,0.5200852155685425,0.8009948134422302,0.1638137698173523,0.4962475001811981,0.8051931262016296,0.16302934288978577,0.518241822719574,0.8150050044059753,0.17090599238872528,0.4982614815235138,0.8198962211608887,0.17043659090995789,0.5296915173530579,0.842642068862915,0.08868271112442017,0.4847269058227539,0.8417374491691589,0.08467645198106766
2,0.518564760684967,0.3129976689815521,-0.2011370062828064,0.5207802653312683,0.29974785447120667,-0.18872371315956116,0.5230280160903931,0.2997373342514038,-0.18876592814922333,0.5251679420471191,0.2998623549938202,-0.1887628138065338,0.5140191316604614,0.2996923625469208,-0.19071419537067413,0.5109392404556274,0.3000137507915497,-0.19071529805660248,0.5080922842025757,0.3004208505153656,-0.1907452493906021,0.5263440608978271,0.304829478263855,-0.10762558877468109,0.5014490485191345,0.30586865544319153,-0.11746672540903091,0.5212990641593933,0.3266518712043762,-0.17005829513072968,0.5134568214416504,0.3277038037776947,-0.1728937029838562,0.5501578450202942,0.38805249333381653,-0.05797000974416733,0.4806863069534302,0.3841448128223419,-0.06356186419725418,0.555838406085968,0.4727175235748291,-0.02688826434314251,0.47358188033103943,0.47312507033348083,-0.035086490213871,0.5552141666412354,0.5534639954566956,-0.10189934074878693,0.4730597734451294,0.5537459254264832,-0.10128452628850937,0.5574951767921448,0.578333854675293,-0.12418344616889954,0.4725756347179413,0.5799121260643005,-0.12252619117498398,0.5532602071762085,0.576772153377533,-0.1480989158153534,0.4761020541191101,0.577354371547699,-0.14843209087848663,0.5508773326873779,0.569044828414917,-0.11290561407804489,0.47757986187934875,0.5688980221748352,-0.11305635422468185,0.5300586223602295,0.5724695324897766,-9.662232332630083e-05,0.493633896112442,0.571526288986206,0.00011437907960498706,0.5259947180747986,0.6939821243286133,0.036186717450618744,0.49407893419265747,0.6917943358421326,0.03013565018773079,0.52007657289505,0.8010272979736328,0.16311289370059967,0.49625617265701294,0.8052141070365906,0.1625024974346161,0.5182396173477173,0.81502765417099,0.1703980565071106,0.49827757477760315,0.8200139403343201,0.17013238370418549,0.5297802686691284,0.8426114916801453,0.0883224830031395,0.48455557227134705,0.8415476679801941,0.08435511589050293
3,0.5187126994132996,0.31273341178894043,-0.2024695873260498,0.5210153460502625,0.2996271550655365,-0.19033899903297424,0.5232638120651245,0.2996335029602051,-0.19037848711013794,0.5254396200180054,0.2997685670852661,-0.19037535786628723,0.5142645835876465,0.2995462119579315,-0.19213226437568665,0.5112149715423584,0.29987427592277527,-0.19213446974754333,0.5084066987037659,0.3002677857875824,-0.19216516613960266,0.5267021656036377,0.30475521087646484,-0.10932978987693787,0.5017527937889099,0.3057255744934082,-0.11832014471292496,0.5215045809745789,0.3265439569950104,-0.1712961196899414,0.513580858707428,0.3276187479496002,-0.17389219999313354,0.550595760345459,0.3880862891674042,-0.05799679085612297,0.4811458885669708,0.38406267762184143,-0.06389723718166351,0.5559093356132507,0.4728165864944458,-0.025496430695056915,0.4741157293319702,0.4731270372867584,-0.03509591892361641,0.5552231669425964,0.554313600063324,-0.10064252465963364,0.4740515649318695,0.5533248782157898,-0.10150054842233658,0.5575079917907715,0.5793160200119019,-0.12307795137166977,0.4732629358768463,0.5796112418174744,-0.1228032261133194,0.5532793402671814,0.5778036713600159,-0.146961972117424,0.47703537344932556,0.5771542191505432,-0.14865395426750183,0.5508931279182434,0.569914698600769,-0.11164819449186325,0.4787557125091553,0.5685685873031616,-0.11321870982646942,0.5301641225814819,0.5725289583206177,-0.00015012116637080908,0.49369630217552185,0.5713765621185303,0.0001692217047093436,0.5259846448898315,0.6943421363830566,0.03491206094622612,0.4941636919975281,0.6919782161712646,0.02837022766470909,0.520068347454071,0.8010340332984924,0.1633187234401703,0.49630582332611084,0.8052391409873962,0.16072003543376923,0.5182317495346069,0.8150272965431213,0.1707742065191269,0.49834758043289185,0.8200874328613281,0.16834989190101624,0.5298487544059753,0.8425706028938293,0.08858256042003632,0.48449498414993286,0.841519832611084,0.08224911987781525
4,0.5188299417495728,0.3126485049724579,-0.2015172690153122,0.5213090181350708,0.2995855212211609,-0.1894107162952423,0.5236337780952454,0.2996089458465576,-0.18944810330867767,0.5258686542510986,0.2997514009475708,-0.18944305181503296,0.5144836902618408,0.29948344826698303,-0.19126340746879578,0.5114643573760986,0.29980501532554626,-0.19126610457897186,0.50868159532547,0.3001750707626343,-0.1912960261106491,0.5274340510368347,0.30474719405174255,-0.10872852057218552,0.5020725727081299,0.30565959215164185,-0.11809525638818741,0.5217143893241882,0.32653358578681946,-0.17048782110214233,0.5136991143226624,0.327604740858078,-0.17318621277809143,0.5510387420654297,0.38815104961395264,-0.05697721615433693,0.4815002679824829,0.38405153155326843,-0.06442621350288391,0.5559208393096924,0.47316351532936096,-0.023676808923482895,0.47493797540664673,0.4732067883014679,-0.03626301512122154,0.555246889591217,0.5549567937850952,-0.09884782135486603,0.47533947229385376,0.5530331134796143,-0.10253782570362091,0.5575123429298401,0.579940140247345,-0.12125960737466812,0.47439467906951904,0.5794376134872437,-0.1239316388964653,0.5533034205436707,0.5783721804618835,-0.14525525271892548,0.47844135761260986,0.5769451260566711,-0.1494753658771515,0.5509192943572998,0.5703946948051453,-0.10990159213542938,0.48044317960739136,0.5683205723762512,-0.1140887513756752,0.5303478837013245,0.5725286602973938,-0.00014281514449976385,0.49383968114852905,0.5710720419883728,0.00016281528223771602,0.5259835720062256,0.6945810317993164,0.03468145802617073,0.49429500102996826,0.6920726895332336,0.026740938425064087,0.5200645923614502,0.8010215163230896,0.16235975921154022,0.49653640389442444,0.8052502274513245,0.1576537936925888,0.5182317495346069,0.8149970173835754,0.1697496473789215,0.49856117367744446,0.8201234936714172,0.16514281928539276,0.529887318611145,0.8424845337867737,0.08785077184438705,0.48451873660087585,0.8413627743721008,0.07916006445884705
5,0.5189759731292725,0.31251785159111023,-0.20151785016059875,0.5215389132499695,0.2995074987411499,-0.18939505517482758,0.5239065289497375,0.2995526194572449,-0.18943262100219727,0.5261784195899963,0.29970771074295044,-0.18942736089229584,0.5146387219429016,0.2993910014629364,-0.19124570488929749,0.5116109848022461,0.2997090220451355,-0.1912485957145691,0.5088050961494446,0.3000721037387848,-0.19127804040908813,0.5278988480567932,0.30472055077552795,-0.10861780494451523,0.502246081829071,0.30556628108024597,-0.11797981709241867,0.521946132183075,0.3265189528465271,-0.1704571396112442,0.5138543844223022,0.3275904655456543,-0.17315445840358734,0.5512914061546326,0.3881908357143402,-0.056808799505233765,0.48176929354667664,0.3840150535106659,-0.06435028463602066,0.5559331178665161,0.4735178053379059,-0.023272262886166573,0.47537103295326233,0.473226934671402,-0.036189284175634384,0.5552673935890198,0.5554568767547607,-0.09867717325687408,0.47599393129348755,0.5528386235237122,-0.10293637216091156,0.5575211048126221,0.5804964900016785,-0.12108971923589706,0.47493699193000793,0.5792849063873291,-0.12445526570081711,0.5533102750778198,0.5788553357124329,-0.14514389634132385,0.47901859879493713,0.576794445514679,-0.1499636173248291,0.5509260892868042,0.5708125233650208,-0.10975505411624908,0.4811011850833893,0.5681610703468323,-0.11448051780462265,0.5304831266403198,0.5725809335708618,-0.0001347505021840334,0.4939512610435486,0.57093745470047,0.0001541617966722697,0.5259838700294495,0.6946733593940735,0.03421866521239281,0.494371622800827,0.6921265125274658,0.026408808305859566,0.5200638771057129,0.8010139465332031,0.16309720277786255,0.4966534674167633,0.8052618503570557,0.15850751101970673,0.5182376503944397,0.8149775862693787,0.17063960433006287,0.49868452548980713,0.8201534748077393,0.16616983711719513,0.5299054980278015,0.8424333930015564,0.088721364736557,0.4845488667488098,0.8413522839546204,0.08010023087263107
6,0.5203615427017212,0.311949759721756,-0.19331511855125427,0.5233246684074402,0.2990531623363495,-0.18084701895713806,0.5255970358848572,0.2991809546947479,-0.18088921904563904,0.5278388261795044,0.29932618141174316,-0.18088632822036743,0.5163919925689697,0.2988366186618805,-0.18249866366386414,0.5136342644691467,0.29913049936294556,-0.1824972778558731,0.5106086730957031,0.29948660731315613,-0.18252788484096527,0.5293678045272827,0.30442318320274353,-0.10157469660043716,0.5042266845703125,0.30496421456336975,-0.10997414588928223,0.52351313829422,0.32599613070487976,-0.16314466297626495,0.5156543850898743,0.32701489329338074,-0.16555793583393097,0.5522798299789429,0.3882732093334198,-0.05474730581045151,0.4833325743675232,0.38369059562683105,-0.05884088575839996,0.5560529232025146,0.4737073481082916,-0.024277841672301292,0.4760783612728119,0.4732552468776703,-0.032494209706783295,0.5552607178688049,0.55577152967453,-0.09895837306976318,0.47714710235595703,0.5530686974525452,-0.09774352610111237,0.5575084686279297,0.5809088349342346,-0.12217153608798981,0.4761704206466675,0.5793169736862183,-0.11918489634990692,0.5533050894737244,0.5791797041893005,-0.14575789868831635,0.48048698902130127,0.5767979025840759,-0.1440783441066742,0.5509188771247864,0.5711861252784729,-0.10987498611211777,0.4825064241886139,0.5681881308555603,-0.10906333476305008,0.5308476686477661,0.5728611350059509,-0.00019741000141948462,0.49429088830947876,0.57087641954422,0.00021818875393364578,0.5260933041572571,0.6946367621421814,0.03311152756214142,0.4944671094417572,0.6921467781066895,0.02679038792848587,0.5200314521789551,0.8009652495384216,0.16057026386260986,0.4966593384742737,0.8052563667297363,0.15925024449825287,0.5181987285614014,0.8149755597114563,0.168034166097641,0.4986847937107086,0.8201830387115479,0.16695436835289001,0.529895544052124,0.8423885703086853,0.08748742192983627,0.4845191538333893,0.8412954211235046,0.08118433505296707
7,0.5210990309715271,0.31189483404159546,-0.19041255116462708,0.5243365168571472,0.29901397228240967,-0.17807318270206451,0.5266513824462891,0.29916486144065857,-0.1781180053949356,0.5288817286491394,0.2993089556694031,-0.1781153380870819,0.5173084139823914,0.2987203896045685,-0.17942380905151367,0.5146099328994751,0.2989872992038727,-0.17942005395889282,0.5115482211112976,0.29928502440452576,-0.17944791913032532,0.5306192636489868,0.3043742775917053,-0.09960214793682098,0.5053538084030151,0.3045904040336609,-0.1066601425409317,0.5243985056877136,0.3259757459163666,-0.16057085990905762,0.5165804624557495,0.3268930912017822,-0.16258665919303894,0.5528470873832703,0.38840198516845703,-0.05453261733055115,0.484361857175827,0.3833572566509247,-0.055328525602817535,0.5562382936477661,0.473847359418869,-0.025012578815221786,0.4766537547111511,0.47323787212371826,-0.02850337140262127,0.5551528930664062,0.5558909773826599,-0.10162234306335449,0.47766828536987305,0.5530946850776672,-0.09388678520917892,0.5573938488960266,0.5810741782188416,-0.12546628713607788,0.4767001271247864,0.5793134570121765,-0.11525118350982666,0.5531944036483765,0.5792650580406189,-0.14862646162509918,0.4810349643230438,0.5767859816551208,-0.140151709318161,0.550801694393158,0.5712475776672363,-0.11228770762681961,0.4830273985862732,0.5682048201560974,-0.10526901483535767,0.5309708118438721,0.5735393762588501,-0.0003567765816114843,0.49455514550209045,0.5708755254745483,0.0003806188178714365,0.5261993408203125,0.6946312785148621,0.032859597355127335,0.49453601241111755,0.6921421885490417,0.026903806254267693,0.5199914574623108,0.8009520173072815,0.15957674384117126,0.49664318561553955,0.805271327495575,0.15956589579582214,0.5181190967559814,0.814973771572113,0.16699084639549255,0.49865567684173584,0.8202078938484192,0.16724684834480286,0.5298390984535217,0.8423634171485901,0.08711553364992142,0.4843607544898987,0.8411822319030762,0.08174221217632294
8,0.5219591856002808,0.31187060475349426,-0.19442574679851532,0.5252900123596191,0.29892292618751526,-0.18216943740844727,0.5276040434837341,0.29910093545913696,-0.18221361935138702,0.5298321843147278,0.299239844083786,-0.1822120100259781,0.5181818008422852,0.29857945442199707,-0.18356475234031677,0.5154919028282166,0.29883453249931335,-0.18356209993362427,0.512401282787323,0.2991102933883667,-0.1835903823375702,0.5314551591873169,0.30424270033836365,-0.10282151401042938,0.5063033103942871,0.30426281690597534,-0.10999298840761185,0.5252978205680847,0.32596513628959656,-0.1641201376914978,0.5175836682319641,0.3268465995788574,-0.16617950797080994,0.553295910358429,0.38844558596611023,-0.05629502236843109,0.48499852418899536,0.38310709595680237,-0.057339467108249664,0.5565003752708435,0.4739239513874054,-0.02794872596859932,0.47699272632598877,0.4732533395290375,-0.02976120077073574,0.555094301700592,0.5563705563545227,-0.10652907937765121,0.4778793454170227,0.5533844828605652,-0.09558463841676712,0.5573163032531738,0.5817045569419861,-0.13085946440696716,0.4768708050251007,0.5793609023094177,-0.11712897568941116,0.5530910491943359,0.5798200368881226,-0.1541115641593933,0.48124557733535767,0.5767878890037537,-0.14225082099437714,0.5506954193115234,0.5718312859535217,-0.1172315701842308,0.48322123289108276,0.5682163834571838,-0.10703689604997635,0.5310662984848022,0.5744369029998779,-0.0005071156192570925,0.49466025829315186,0.57097989320755,0.0005318099283613265,0.5263246297836304,0.6947376132011414,0.03308986872434616,0.4945368766784668,0.6922163367271423,0.029064610600471497,0.5199896097183228,0.8009576201438904,0.1621873676776886,0.4964994192123413,0.8052722811698914,0.16645565629005432,0.5180541276931763,0.8150716423988342,0.17034848034381866,0.498552531003952,0.8202139735221863,0.1748780608177185,0.5297895669937134,0.8423356413841248,0.09130706638097763,0.4838963747024536,0.8408820629119873,0.09125951677560806
9,0.5226002335548401,0.3118763566017151,-0.1954578459262848,0.526086688041687,0.29890841245651245,-0.18338331580162048,0.5284217596054077,0.2990957498550415,-0.18342739343643188,0.5306742191314697,0.299234002828598,-0.183424711227417,0.5188471078872681,0.29854875802993774,-0.18460910022258759,0.5161389708518982,0.2988003194332123,-0.18460607528686523,0.5130614638328552,0.29906317591667175,-0.18463435769081116,0.5324481129646301,0.30420830845832825,-0.10447437316179276,0.5071533918380737,0.3041504919528961,-0.11096685379743576,0.5259996056556702,0.32598039507865906,-0.16526813805103302,0.5182304382324219,0.3268462121486664,-0.16710405051708221,0.5538714528083801,0.38853827118873596,-0.05740038678050041,0.4855623245239258,0.3829658329486847,-0.05775228887796402,0.556896448135376,0.4739605188369751,-0.032529763877391815,0.4771045744419098,0.473190039396286,-0.029735267162322998,0.5550923347473145,0.5566341876983643,-0.11167748272418976,0.4777553975582123,0.5532733201980591,-0.09515389800071716,0.5573161244392395,0.5822011828422546,-0.13616923987865448,0.47675850987434387,0.5791928768157959,-0.11664362251758575,0.5530601739883423,0.5801835060119629,-0.15921637415885925,0.4810819625854492,0.576535165309906,-0.1417805254459381,0.5506523251533508,0.5721739530563354,-0.12229371070861816,0.4830390512943268,0.5680474638938904,-0.10660174489021301,0.5311704277992249,0.5752469897270203,-0.0010187808657065034,0.49471554160118103,0.5712111592292786,0.0010402821935713291,0.526577889919281,0.6947082877159119,0.036125145852565765,0.4944780468940735,0.6922111511230469,0.0361688956618309,0.5199576616287231,0.8009461760520935,0.168856680393219,0.49621930718421936,0.8051963448524475,0.17648223042488098,0.5179125070571899,0.8152548670768738,0.17723116278648376,0.4983624517917633,0.8202179074287415,0.1853233277797699,0.5297154784202576,0.8422098159790039,0.09912881255149841,0.48268070816993713,0.8399991989135742,0.10366425663232803
